id,name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,radius,lim_sup,lim_inf,days,hours,flights_affected
MMP-113,JAGUEYES,19 50 00N  099 16 00W,,,,,,,,,,,,9260,10000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMP-114,PENAL,18 59 24N  098 10 22W,,,,,,,,,,,,1852,11000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-115,PERE,19 43 23N  096 24 28W,,,,,,,,,,,,61116,7500 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR / IFR
MMR-116,PIE DE LA CUESTA,16 54 28N  099 59 04W,,,,,,,,,,,,9260,2500 FT AMSL,GND,LUN A VIE,1300 / 2100,VFR
MMR-117,,,,,,,,,,,,,,,2500 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-118,PENAL,20 33 00N  103 10 00W,,,,,,,,,,,,463,9000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-119,,,,,,,,,,,,,,,6000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMP-120,PENAL,20 40 57N  100 20 51W,,,,,,,,,,,,926,7200 FT AMSL,GND,CONTINUO,H24,VFR
MMP-121,RECLUSORIO XOCHITEPEC,18 45 22N  099 14 27W,,,,,,,,,,,,926,5000 FT AMSL,GND,CONTINUO,H24,VFR
MMP-122,,18 46 02N  098 58 59W,,,,,,,,,,,,926,4900 FT AMSL,GND,CONTINUO,H24,VFR
MMR-123,TULA,20 02 41N  099 16 21W,,,,,,,,,,,,2778,10500 FT AMSL,GND,CONTINUO,H24,VFR
MMR-124,SAN MARTIN,19 15 09N  098 24 44W,,,,,,,,,,,,926,10500 FT AMSL,GND,CONTINUO,H24,VFR
MMR-125,TUXPAN,20 58 27N  097 19 02W,,,,,,,,,,,,1389,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-126,POZA RICA,20 31 13N  097 28 15W,,,,,,,,,,,,1389,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-127,ESCOLIN,20 30 12N  097 28 35W,,,,,,,,,,,,926,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-128,COTAXTLA,18 49 11N  096 23 54W,,,,,,,,,,,,1389,3000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-129,SALAMANCA,20 34 46N  101 10 42W,,,,,,,,,,,,2315,4000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-130,PANUCO,22 03 30N  098 10 47W,,,,,,,,,,,,1852,2500 FT AMSL,GND,CONTINUO,H24,VFR
